sample	chrom	seed	gens
5E9	7	1631325305	2
5E9	8	2591048868	2
5E9	8	2927899115	2
5E9	8	3990463939	2
5E9	9	1421987452	2
5E9	9	2488033299	2
5E9	9	1880588882	2
5G4	1	1965588032	2
5G4	1	430389989	2
5G4	1	3138477985	2
5G4	10	1046820147	2
5G4	10	1093992320	2
5G4	10	962656633	2
5G4	2	669146853	2
5G4	2	4012052294	2
5G4	2	3932395549	2
5G4	3	3994755481	2
5G4	3	4228260677	2
5G4	3	995844166	2
5G4	4	3545131212	2
5G4	4	4131120692	2
5G4	4	2337199668	2
5G4	5	3108523375	2
5G4	5	100208676	2
5G4	5	709169027	2
5G4	6	3324205159	2
5G4	6	2690917021	2
5G4	6	401494953	2
5G4	7	1094211173	2
5G4	7	3834122746	2
5G4	7	1661750936	2
5G4	8	4005868671	2
5G4	8	3884226669	2
5G4	8	3854737843	2
5G4	9	3490777599	2
5G4	9	1521371011	2
5G4	9	751355740	2
6A12	1	1891209369	2
6A12	1	4019406312	2
6A12	1	1274225928	2
6A12	10	2597535719	2
6A12	10	3018956127	2
6A12	10	802835370	2
6A12	2	3338535005	2
6A12	2	1467208548	2
6A12	2	441510357	2
6A12	3	1503272735	2
6A12	3	1992103861	2
6A12	3	1860754958	2
6A12	4	3515138984	2
6A12	4	3756860581	2
6A12	4	3058179653	2
6A12	5	1837868231	2
6A12	5	873187855	2
6A12	5	1903780215	2
6A12	6	3550226703	2
6A12	6	948716743	2
6A12	6	2429457297	2
6A12	7	1738906024	2
6A12	7	1312044617	2
6A12	7	701247019	2
6A12	8	3301201040	2
6A12	8	1554932864	2
6A12	8	2688169951	2
6A12	9	2308915558	2
6A12	9	2928701770	2
6A12	9	3433697272	2
CIMBL14	1	2523253997	2
CIMBL14	1	361377207	2
CIMBL14	1	3102442629	2
CIMBL14	10	2611871100	2
CIMBL14	10	1428162134	2
CIMBL14	10	4054297364	2
CIMBL14	2	304594959	2
CIMBL14	2	3463385763	2
CIMBL14	2	1963382508	2
CIMBL14	3	2800538720	2
CIMBL14	3	3154917879	2
CIMBL14	3	1801079827	2
CIMBL14	4	271051247	2
CIMBL14	4	2347575646	2
CIMBL14	4	518908103	2
CIMBL14	5	3887334539	2
CIMBL14	5	2157446196	2
CIMBL14	5	2732245379	2
CIMBL14	6	421588411	2
CIMBL14	6	2754161197	2
CIMBL14	6	2629695032	2
CIMBL14	7	2709886107	2
CIMBL14	7	2859357524	2
CIMBL14	7	2999834204	2
CIMBL14	8	3950062170	2
CIMBL14	8	3849417500	2
CIMBL14	8	2593276251	2
CIMBL14	9	3037971685	2
CIMBL14	9	2451749298	2
CIMBL14	9	2409577780	2
